Timestep	Mean100Reward	BestMeanReward	episodes	exploration	learning_rate
3530000	16.95	17.11	1668	0.09051250000000001	0.0001
3540000	16.95	17.11	1673	0.090475	0.0001
3550000	16.98	17.11	1678	0.0904375	0.0001
3560000	17.02	17.11	1683	0.09040000000000001	0.0001
3570000	17.13	17.13	1688	0.0903625	0.0001
3580000	17.11	17.14	1692	0.090325	0.0001
3590000	17.08	17.14	1697	0.0902875	0.0001
3600000	17.05	17.14	1701	0.09025	0.0001
3610000	17.19	17.19	1707	0.0902125	0.0001
3620000	17.22	17.22	1711	0.090175	0.0001
3630000	17.13	17.22	1716	0.09013750000000001	0.0001
3640000	17.15	17.22	1720	0.0901	0.0001
3650000	17.16	17.24	1725	0.0900625	0.0001
3660000	17.18	17.24	1730	0.09002500000000001	0.0001
3670000	17.29	17.37	1734	0.0899875	0.0001
3680000	17.44	17.44	1739	0.08995	0.0001
3690000	17.52	17.54	1744	0.0899125	0.0001
3700000	17.58	17.58	1749	0.08987500000000001	0.0001
3710000	17.6	17.61	1753	0.0898375	0.0001
3720000	17.71	17.71	1758	0.0898	0.0001
3730000	17.75	17.75	1763	0.08976250000000001	0.0001
3740000	17.65	17.75	1768	0.089725	0.0001
3750000	17.67	17.75	1773	0.0896875	0.0001
3760000	17.67	17.75	1778	0.08965000000000001	0.0001
3770000	17.61	17.75	1782	0.08961250000000001	0.0001
3780000	17.6	17.75	1787	0.089575	0.0001
3790000	17.56	17.75	1792	0.0895375	0.0001
3800000	17.68	17.75	1797	0.08950000000000001	0.0001
3810000	17.73	17.75	1802	0.0894625	0.0001
3820000	17.64	17.75	1806	0.089425	0.0001
3830000	17.56	17.75	1811	0.08938750000000001	0.0001
3840000	17.64	17.75	1816	0.08935	0.0001
3850000	17.72	17.75	1822	0.0893125	0.0001
3860000	17.68	17.75	1826	0.08927500000000001	0.0001
3870000	17.81	17.81	1832	0.0892375	0.0001
3880000	17.93	17.93	1837	0.0892	0.0001
3890000	17.98	18.02	1842	0.0891625	0.0001
3900000	18.04	18.04	1848	0.08912500000000001	0.0001
3910000	18.04	18.06	1853	0.0890875	0.0001
3920000	18.0	18.06	1857	0.08905	0.0001
3930000	18.02	18.06	1862	0.08901250000000001	0.0001
3940000	18.01	18.06	1867	0.088975	0.0001
3950000	17.98	18.06	1871	0.0889375	0.0001
3960000	17.91	18.06	1876	0.0889	0.0001
3970000	17.81	18.06	1880	0.08886250000000001	0.0001
3980000	17.81	18.06	1885	0.088825	0.0001
3990000	17.84	18.06	1890	0.0887875	0.0001
4000000	17.85	18.06	1895	0.08875000000000001	0.0001
4010000	17.81	18.06	1900	0.0887125	0.0001
4020000	17.85	18.06	1905	0.088675	0.0001
4030000	17.95	18.06	1909	0.08863750000000001	0.0001
4040000	17.95	18.06	1914	0.0886	0.0001
4050000	17.96	18.06	1920	0.0885625	0.0001
4060000	18.08	18.08	1925	0.088525	0.0001
4070000	18.02	18.1	1929	0.0884875	0.0001
4080000	17.86	18.1	1934	0.08845	0.0001
4090000	17.78	18.1	1939	0.0884125	0.0001
4100000	17.75	18.1	1943	0.08837500000000001	0.0001
4110000	17.64	18.1	1948	0.0883375	0.0001
4120000	17.61	18.1	1953	0.0883	0.0001
4130000	17.63	18.1	1958	0.08826250000000001	0.0001
4140000	17.61	18.1	1963	0.088225	0.0001
4150000	17.61	18.1	1967	0.0881875	0.0001
4160000	17.6	18.1	1972	0.08815	0.0001
4170000	17.6	18.1	1977	0.08811250000000001	0.0001
4180000	17.75	18.1	1982	0.088075	0.0001
4190000	17.75	18.1	1986	0.0880375	0.0001
4200000	17.71	18.1	1991	0.08800000000000001	0.0001
4210000	17.67	18.1	1996	0.0879625	0.0001
4220000	17.64	18.1	2001	0.087925	0.0001
4230000	17.57	18.1	2006	0.08788750000000001	0.0001
4240000	17.64	18.1	2011	0.08785	0.0001
4250000	17.54	18.1	2016	0.0878125	0.0001
4260000	17.41	18.1	2020	0.087775	0.0001
4270000	17.2	18.1	2025	0.0877375	0.0001
4280000	17.18	18.1	2029	0.0877	0.0001
4290000	17.27	18.1	2034	0.0876625	0.0001
4300000	17.28	18.1	2039	0.08762500000000001	0.0001
4310000	17.29	18.1	2044	0.0875875	0.0001
4320000	17.29	18.1	2049	0.08755	0.0001
4330000	17.26	18.1	2054	0.08751250000000001	0.0001
4340000	17.28	18.1	2058	0.087475	0.0001
4350000	17.26	18.1	2063	0.0874375	0.0001
4360000	17.21	18.1	2067	0.0874	0.0001
4370000	17.32	18.1	2072	0.08736250000000001	0.0001
4380000	17.35	18.1	2078	0.087325	0.0001
4390000	17.4	18.1	2083	0.0872875	0.0001
4400000	17.48	18.1	2088	0.08725000000000001	0.0001
4410000	17.5	18.1	2093	0.0872125	0.0001
4420000	17.58	18.1	2098	0.087175	0.0001
4430000	17.58	18.1	2102	0.0871375	0.0001
4440000	17.51	18.1	2107	0.08710000000000001	0.0001
4450000	17.52	18.1	2112	0.0870625	0.0001
4460000	17.53	18.1	2117	0.087025	0.0001
4470000	17.71	18.1	2122	0.08698750000000001	0.0001
4480000	17.74	18.1	2127	0.08695	0.0001
4490000	17.73	18.1	2132	0.0869125	0.0001
4500000	17.75	18.1	2137	0.08687500000000001	0.0001
4510000	17.88	18.1	2142	0.08683750000000001	0.0001
4520000	17.89	18.1	2147	0.0868	0.0001
4530000	17.88	18.1	2152	0.0867625	0.0001
4540000	17.93	18.1	2157	0.08672500000000001	0.0001
4550000	17.86	18.1	2162	0.0866875	0.0001
4560000	17.98	18.1	2167	0.08665	0.0001
4570000	17.89	18.1	2172	0.08661250000000001	0.0001
4580000	17.85	18.1	2177	0.086575	0.0001
4590000	17.93	18.1	2183	0.0865375	0.0001
4600000	17.83	18.1	2188	0.08650000000000001	0.0001
4610000	17.9	18.1	2193	0.0864625	0.0001
4620000	17.8	18.1	2197	0.086425	0.0001
4630000	17.89	18.1	2202	0.0863875	0.0001
4640000	17.93	18.1	2207	0.08635000000000001	0.0001
4650000	17.95	18.1	2213	0.0863125	0.0001
4660000	17.85	18.1	2217	0.086275	0.0001
4670000	17.78	18.1	2222	0.08623750000000001	0.0001
4680000	17.89	18.1	2228	0.0862	0.0001
4690000	17.97	18.1	2233	0.0861625	0.0001
4700000	17.9	18.1	2238	0.08612500000000001	0.0001
4710000	17.92	18.1	2243	0.08608750000000001	0.0001
4720000	17.91	18.1	2248	0.08605	0.0001
4730000	17.92	18.1	2253	0.0860125	0.0001
4740000	18.05	18.1	2259	0.08597500000000001	0.0001
4750000	18.15	18.15	2264	0.0859375	0.0001
4760000	18.12	18.16	2269	0.0859	0.0001
4770000	18.13	18.16	2274	0.08586250000000001	0.0001
4780000	18.05	18.16	2279	0.085825	0.0001
4790000	17.98	18.16	2283	0.0857875	0.0001
4800000	18.09	18.16	2289	0.08575	0.0001
4810000	18.05	18.16	2294	0.0857125	0.0001
4820000	18.09	18.16	2299	0.085675	0.0001
4830000	18.09	18.16	2304	0.0856375	0.0001
4840000	18.05	18.16	2309	0.08560000000000001	0.0001
4850000	18.11	18.16	2314	0.0855625	0.0001
4860000	18.2	18.2	2320	0.085525	0.0001
4870000	18.2	18.2	2325	0.08548750000000001	0.0001
4880000	18.21	18.27	2330	0.08545	0.0001
4890000	18.21	18.27	2335	0.0854125	0.0001
4900000	18.19	18.27	2340	0.085375	0.0001
4910000	18.18	18.27	2345	0.08533750000000001	0.0001
4920000	18.13	18.27	2350	0.0853	0.0001
4930000	18.12	18.27	2355	0.0852625	0.0001
4940000	18.11	18.27	2361	0.08522500000000001	0.0001
4950000	18.11	18.27	2366	0.0851875	0.0001
4960000	18.17	18.27	2371	0.08515	0.0001
4970000	18.3	18.3	2377	0.08511250000000001	0.0001
4980000	18.39	18.39	2382	0.085075	0.0001
4990000	18.34	18.39	2387	0.0850375	0.0001
5000000	18.3	18.39	2392	0.085	0.0001
5010000	18.26	18.39	2397	0.0849625	9.9975e-05
5020000	18.36	18.39	2402	0.084925	9.995e-05
